#word host;hostname;ip;mac
#word switch;switchname;ports;dpid
host;h0;10.0.0.1;00:00:00:00:00:01
host;h1;10.0.0.2;00:00:00:00:00:02
host;h2;10.0.0.3;00:00:00:00:00:03
host;h3;10.0.0.4;00:00:00:00:00:04
host;h4;10.0.0.5;00:00:00:00:00:05
host;h5;10.0.0.6;00:00:00:00:00:06
host;h6;10.0.0.7;00:00:00:00:00:07
host;h7;10.0.0.8;00:00:00:00:00:08
host;h8;10.0.0.9;00:00:00:00:00:09
host;h9;10.0.0.10;00:00:00:00:00:10
host;h10;10.0.0.11;00:00:00:00:00:11
host;h11;10.0.0.12;00:00:00:00:00:12
host;h12;10.0.0.13;00:00:00:00:00:13
host;h13;10.0.0.14;00:00:00:00:00:14
host;h14;10.0.0.15;00:00:00:00:00:15
host;h15;10.0.0.16;00:00:00:00:00:16
host;h16;10.0.0.17;00:00:00:00:00:17
host;h17;10.0.0.18;00:00:00:00:00:18
host;h18;10.0.0.19;00:00:00:00:00:19
host;h19;10.0.0.20;00:00:00:00:00:20
host;h20;10.0.0.21;00:00:00:00:00:21
host;h21;10.0.0.22;00:00:00:00:00:22
host;h22;10.0.0.23;00:00:00:00:00:23
host;h23;10.0.0.24;00:00:00:00:00:24
host;h24;10.0.0.25;00:00:00:00:00:25
host;h25;10.0.0.26;00:00:00:00:00:26
host;h26;10.0.0.27;00:00:00:00:00:27
host;h27;10.0.0.28;00:00:00:00:00:28
host;h28;10.0.0.29;00:00:00:00:00:29
host;h29;10.0.0.30;00:00:00:00:00:30
host;h30;10.0.0.31;00:00:00:00:00:31
host;h31;10.0.0.32;00:00:00:00:00:32
switch;s0;6;00-00-00-10-00-00
switch;s1;6;00-00-00-10-00-01
switch;s2;6;00-00-00-10-00-02
switch;s3;6;00-00-00-10-00-03
switch;s4;6;00-00-00-10-00-04
switch;s5;6;00-00-00-10-00-05
switch;s6;6;00-00-00-10-00-06
switch;s7;6;00-00-00-10-00-07
switch;sa100;4;00-20-00-00-00-00
switch;sa101;4;00-20-00-00-00-01
switch;sa102;4;00-20-00-00-00-02
switch;sa103;4;00-20-00-00-00-03
switch;sa104;4;00-20-00-00-00-04
switch;sa105;4;00-20-00-00-00-05
switch;sa106;4;00-20-00-00-00-06
switch;sa107;4;00-20-00-00-00-07
switch;sc0;4;00-00-00-30-00-00
switch;sc1;4;00-00-00-30-00-01
switch;sc2;4;00-00-00-30-00-02
switch;sc3;4;00-00-00-30-00-03



